molecule_chembl_id,M,N
CHEMBL101924,1,3705
CHEMBL10193,1,3705
CHEMBL101932,2,3705
CHEMBL101933,1,3705
CHEMBL101935,2,3705
CHEMBL101937,1,3705
CHEMBL101940,2,3705
CHEMBL101941,1,3705
CHEMBL101947,1,3705
CHEMBL101953,1,3705
CHEMBL101954,1,3705
CHEMBL101961,1,3705
CHEMBL101965,1,3705
CHEMBL101970,1,3705
CHEMBL101972,1,3705
CHEMBL101977,1,3705
CHEMBL10198,1,3705
CHEMBL101981,4,3705
CHEMBL101984,1,3705
CHEMBL101986,1,3705
CHEMBL101987,1,3705
CHEMBL101988,2,3705
CHEMBL101996,1,3705
CHEMBL101997,2,3705
CHEMBL1020,4,3705
CHEMBL102000,1,3705
CHEMBL102002,2,3705
CHEMBL102004,5,3705
CHEMBL102005,5,3705
CHEMBL102006,1,3705
CHEMBL102008,1,3705
CHEMBL102010,1,3705
CHEMBL102013,2,3705
CHEMBL102018,3,3705
CHEMBL10202,1,3705
CHEMBL10203,1,3705
CHEMBL102030,1,3705
CHEMBL102032,1,3705
CHEMBL102035,2,3705
CHEMBL102039,3,3705
CHEMBL102040,2,3705
CHEMBL102042,1,3705
CHEMBL102044,1,3705
CHEMBL102047,1,3705
CHEMBL102052,1,3705
CHEMBL102057,4,3705
CHEMBL102059,1,3705
CHEMBL10206,1,3705
CHEMBL102068,3,3705
CHEMBL10207,3,3705
CHEMBL102071,2,3705
CHEMBL102073,1,3705
CHEMBL10208,1,3705
CHEMBL102081,2,3705
CHEMBL102084,2,3705
CHEMBL102090,1,3705
CHEMBL102091,1,3705
CHEMBL102092,1,3705
CHEMBL102100,1,3705
CHEMBL102106,1,3705
CHEMBL102107,1,3705
CHEMBL10211,1,3705
CHEMBL102115,3,3705
CHEMBL102116,2,3705
CHEMBL102117,1,3705
CHEMBL102119,2,3705
CHEMBL10212,1,3705
CHEMBL102121,2,3705
CHEMBL102122,1,3705
CHEMBL102128,1,3705
CHEMBL10213,1,3705
CHEMBL102134,1,3705
CHEMBL102135,1,3705
CHEMBL102138,3,3705
CHEMBL102141,1,3705
CHEMBL102142,2,3705
CHEMBL102143,1,3705
CHEMBL102144,1,3705
CHEMBL102145,1,3705
CHEMBL102148,4,3705
CHEMBL102150,4,3705
CHEMBL102154,4,3705
CHEMBL102157,1,3705
CHEMBL10216,1,3705
CHEMBL102160,1,3705
CHEMBL102162,1,3705
CHEMBL102165,1,3705
CHEMBL102168,2,3705
CHEMBL102173,2,3705
CHEMBL102174,1,3705
CHEMBL102175,2,3705
